id,wallet_address,portfolio_value,nft_collection,collection_value,holding_balance,opensea,explore
Rewkang_Vault,0xff3879b8a363aed92a6eaba8f61f1a96a9ec3c1e,7.98M,Bored Ape Yacht Club,5.06M,23,https://opensea.io/0xff3879b8a363aed92a6eaba8f61f1a96a9ec3c1e?ref=0x87d9a3be5435a1dcadea99059ad6f50c0d6e8469,https://etherscan.io/address/0xff3879b8a363aed92a6eaba8f61f1a96a9ec3c1e
0xde112b77a1,0xde112b77a1a72c726d8c914c23dceaa53273c351,5.71M,Bored Ape Yacht Club,4.84M,22,https://opensea.io/0xde112b77a1a72c726d8c914c23dceaa53273c351?ref=0x87d9a3be5435a1dcadea99059ad6f50c0d6e8469,https://etherscan.io/address/0xde112b77a1a72c726d8c914c23dceaa53273c351
0x8bbc693d04,0x8bbc693d042cea740e4ff01d7e0efb36110c36bf,6.46M,Bored Ape Yacht Club,4.84M,22,https://opensea.io/0x8bbc693d042cea740e4ff01d7e0efb36110c36bf?ref=0x87d9a3be5435a1dcadea99059ad6f50c0d6e8469,https://etherscan.io/address/0x8bbc693d042cea740e4ff01d7e0efb36110c36bf
0xb88f61e6fb,0xb88f61e6fbda83fbfffabe364112137480398018,75M,Bored Ape Yacht Club,38.9M,22,https://opensea.io/0xb88f61e6fbda83fbfffabe364112137480398018?ref=0x87d9a3be5435a1dcadea99059ad6f50c0d6e8469,https://etherscan.io/address/0xb88f61e6fbda83fbfffabe364112137480398018
Yabado,0x122b19a4be93d7c2b4522ebf7eb3f1b5b0343b2f,5.51M,Bored Ape Yacht Club,4.4M,20,https://opensea.io/0x122b19a4be93d7c2b4522ebf7eb3f1b5b0343b2f?ref=0x87d9a3be5435a1dcadea99059ad6f50c0d6e8469,https://etherscan.io/address/0x122b19a4be93d7c2b4522ebf7eb3f1b5b0343b2f
0x31a47094c6,0x31a47094c6325d357c7331c621d6768ba041916e,32.7M,Bored Ape Yacht Club,26.6M,20,https://opensea.io/0x31a47094c6325d357c7331c621d6768ba041916e?ref=0x87d9a3be5435a1dcadea99059ad6f50c0d6e8469,https://etherscan.io/address/0x31a47094c6325d357c7331c621d6768ba041916e
0xed4701,0xed47015bb8080b9399f9d0ddfc427b9cee2caab1,8.7M,Bored Ape Yacht Club,4.4M,20,https://opensea.io/0xed47015bb8080b9399f9d0ddfc427b9cee2caab1?ref=0x87d9a3be5435a1dcadea99059ad6f50c0d6e8469,https://etherscan.io/address/0xed47015bb8080b9399f9d0ddfc427b9cee2caab1
0x8691fdd192,0x8691fdd1923e99ec8e43df85c4b969205a96338a,7.23M,Bored Ape Yacht Club,4.18M,19,https://opensea.io/0x8691fdd1923e99ec8e43df85c4b969205a96338a?ref=0x87d9a3be5435a1dcadea99059ad6f50c0d6e8469,https://etherscan.io/address/0x8691fdd1923e99ec8e43df85c4b969205a96338a
Writer,0x9e64b47bbdb9c1f7b599f11987b84c416c0c4110,8.07M,Bored Ape Yacht Club,4.18M,19,https://opensea.io/0x9e64b47bbdb9c1f7b599f11987b84c416c0c4110?ref=0x87d9a3be5435a1dcadea99059ad6f50c0d6e8469,https://etherscan.io/address/0x9e64b47bbdb9c1f7b599f11987b84c416c0c4110
Weatherspoone,0xa37fbd2264b48ed56dd7de8b9b83db35561700ef,4.66M,Bored Ape Yacht Club,3.74M,17,https://opensea.io/0xa37fbd2264b48ed56dd7de8b9b83db35561700ef?ref=0x87d9a3be5435a1dcadea99059ad6f50c0d6e8469,https://etherscan.io/address/0xa37fbd2264b48ed56dd7de8b9b83db35561700ef
